"순서","시군구코드","교량일련번호","교량명_한글","교량명_영문","위도","경도"
"200","11110","15","오간수교"," ","37.569777","127.0097011"
"201","11110","18","영도교"," ","37.571062","127.0189887"
"204","11320","40"," "," ","37.6489337","127.0196522"
"208","11320","11"," "," ","37.6620281","127.0467505"
"209","11680","41","영동대교"," ","37.5296604","127.0569292"
"210","11680","42","성수대교"," ","37.5376739","127.0351005"
"211","11680","43","동호대교"," ","37.5378376","127.0204948"
"106","11305","4"," "," ","37.6489337","127.0196522"
"107","11305","5","계성교"," ","37.6479723","127.0224347"
"108","11440","16"," "," ","37.5635397","126.9039121"
"109","11440","17"," "," ","37.5633488","126.9035637"
"110","11590","2","동작2교"," ","37.5050381","126.9787759"
"111","11530","10","신도림교"," ","37.506961","126.8930497"
"78","11230","10","안암교","Anamgyo(Bridge)","37.5784118","127.0267872"
"80","11320","9"," "," ","37.661774","127.0377977"
"83","11530","3"," "," ","37.4848672","126.9029347"
"86","11530","13"," "," ","37.5157093","126.8816554"
"89","11590","14","교량"," ","37.504251","126.9793111"
"93","11230","19","중랑교","Jungnanggyo(Bridge)","37.5924891","127.0703506"
"99","11140","17","광교"," ","37.5688712","126.9827794"
"103","11260","3","장안교"," ","37.5806686","127.0773527"
"113","11545","2"," "," ","37.4408047","126.9077601"
"114","11545","7"," "," ","37.474993","126.8777581"
"117","11500","5"," "," ","37.5601704","126.8311009"
"118","11500","11"," "," ","37.5837336","126.798237"
"119","11500","16","행주대교"," ","37.5926765","126.8052022"
"120","11440","22"," "," ","37.5695065","126.8998742"
"121","11440","24","수색교"," ","37.5865396","126.8863032"
"123","11500","12"," "," ","37.58587","126.7992428"
"125","11530","15","신정교"," ","37.5165657","126.8803482"
"126","11740","10"," "," ","37.5636203","127.17329"
"127","11740","20","상일2교"," ","37.5471324","127.174013"
"128","11380","2","덕은교"," ","37.5911292","126.8824693"
"129","11350","24","묵동교"," ","37.6171064","127.0758432"
"131","11650","3"," "," ","37.4564275","127.0504867"
"132","11650","7","원지교","Wonjigyo","37.4613648","127.0461621"
"133","11650","8","헌릉교","Heolleunggyo","37.4616974","127.0849483"
"134","11650","10"," "," ","37.4637917","127.0897708"
"136","11650","13","우면교","Umyeongyo","37.4710043","127.0315085"
"137","11650","17"," "," ","37.4797724","126.9923694"
"138","11650","18"," "," ","37.480416","127.0436281"
"140","11110","14","버들다리"," ","37.5696653","127.0066874"
"142","11140","14","임시보도교"," ","37.5681628","126.9895893"
"143","11680","46"," "," ","37.5218077","127.0177869"
"144","11680","3"," "," ","37.4792862","127.0441638"
"146","11680","9","탄천교"," ","37.4934663","127.1019338"
"147","11680","10","탄천교"," ","37.4936417","127.1015484"
"112","11230","9","성동교","Seongdonggyo(Bridge)","37.5781606","127.0344771"
"115","11215","11","올림픽대교"," ","37.5342318","127.1036541"
"116","11215","12","천호대교"," ","37.5426129","127.1130935"
"122","11440","14"," "," ","37.5594889","126.8933117"
"124","11680","38","청담1교"," ","37.5181153","127.0676452"
"130","11650","2","신원교","Sinwongyo","37.4545549","127.0527106"
"135","11650","11"," "," ","37.466061","126.9885125"
"139","11680","33","광평교"," ","37.4891173","127.1075182"
"141","11110","19","황학교"," ","37.5717192","127.0233915"
"145","11680","7","탄천교"," ","37.4934346","127.1020033"
"308","11560","21","성산대교"," ","37.5526431","126.8916146"
"310","11710","38","청담1교"," ","37.5181153","127.0676452"
"314","11410","3","사천교","Sacheongyo","37.5682118","126.9170244"
"320","11410","16"," "," ","37.5969402","126.9506993"
"325","11560","14"," "," ","37.5379882","126.9002489"
"328","11200","12"," "," ","37.5538977","127.066374"
"220","11590","1","동작2교"," ","37.5046808","126.9789406"
"224","11530","11","도림교"," ","37.5104247","126.8910035"
"225","11530","12"," "," ","37.5140149","126.8793577"
"226","11530","14"," "," ","37.5160024","126.8821616"
"228","11680","37","삼성교"," ","37.5103512","127.0690453"
"229","11320","20","제1도봉교"," ","37.6796745","127.0498646"
"231","11320","31","창번교"," ","37.6355104","127.0380009"
"233","11530","7","고척교"," ","37.4992179","126.870174"
"237","11110","17","다산교"," ","37.5698423","127.0158883"
"238","11680","47","영동2교"," ","37.4797716","127.0439224"
"239","11680","2"," "," ","37.4659593","127.0940689"
"240","11680","6","영동5교"," ","37.490221","127.065458"
"242","11620","6","도림(관악교)"," ","37.4896442","126.9192233"
"244","11440","10"," "," ","37.5588921","126.8925838"
"245","11440","12"," "," ","37.5590531","126.8928073"
"246","11230","28","정릉천교","Jeongneungcheongyo(Bridge)","37.5722804","127.0354928"
"248","11530","2"," "," ","37.4828092","126.8227677"
"249","11320","16","제1무수교"," ","37.677835","127.035881"
"250","11320","37"," "," ","37.64508","127.02741"
"252","11740","18"," "," ","37.5476417","127.1804079"
"253","11680","17","탄천1교"," ","37.5181753","127.0679348"
"255","11440","6"," "," ","37.5568699","126.8951872"
"256","11680","27","한남대교"," "," "," "
"257","11680","28","한남대교"," ","37.5249228","127.0153079"
"259","11500","4"," "," ","37.5597567","126.8286321"
"223","11530","9"," "," ","37.501313","126.8297374"
"227","11680","31","대금교"," ","37.468763","127.1224015"
"230","11320","26","상계교"," ","37.6618263","127.0514113"
"232","11110","12","마전교"," ","37.5696201","127.0020605"
"234","11740","26","강동대교"," ","37.5753624","127.1637242"
"235","11680","29","한남대교"," ","37.5242879","127.0160091"
"236","11680","32"," "," ","37.484147","127.1110183"
"241","11680","12","대치교"," ","37.497645","127.0737495"
"243","11215","4"," "," ","37.5335273","127.0952812"
"247","11230","29","비우당교","Biudanggyo(Bridge)","37.5708039","127.0265879"
"251","11590","3","교량"," ","37.5053457","126.9786409"
"254","11215","2"," "," ","37.5295303","127.0876354"
"258","11500","2"," "," ","37.5541738","126.8767963"
"261","11500","8"," "," ","37.5686641","126.836202"
"262","11500","13"," "," ","37.5902268","126.8013829"
"264","11305","3"," "," ","37.6488475","127.016567"
"266","11680","40","청담대교"," ","37.5272997","127.064857"
"267","11740","3"," "," ","37.5702762","127.1584212"
"268","11740","7"," "," ","37.5653066","127.156204"
"270","11740","19","상일1교"," ","37.547705","127.1739371"
